"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"06-10-2025 15:00","1749567607","0.0195","0.275","0.54","","0.375","0.165","0.065","0.0045"
"06-10-2025 16:00","1749571207","0.0195","0.285","0.56","","0.35","0.15","0.075","0.0045"
"06-10-2025 17:00","1749574807","0.02","0.275","0.54","","0.37","0.155","0.075","0.0045"
"06-10-2025 18:00","1749578407","0.0205","0.27","0.54","","0.37","0.155","0.075","0.0045"
"06-10-2025 19:00","1749582007","0.02","0.305","0.605","","0.325","0.14","0.06","0.0055"
"06-10-2025 20:00","1749585607","0.0235","0.315","0.6","","0.325","0.135","0.055","0.0055"
"06-10-2025 21:00","1749589207","0.021","0.335","0.63","","0.3","0.125","0.055","0.0055"
"06-10-2025 22:00","1749592807","0.022","0.33","0.62","","0.315","0.135","0.055","0.0055"
"06-10-2025 23:00","1749596407","0.022","0.32","0.615","","0.32","0.13","0.055","0.0055"
"06-11-2025 00:00","1749600007","0.021","0.345","0.645","","0.295","0.125","0.055","0.0055"
